title,filename,doi,year,venue,abstract,keywords,authors,primary_topic,primary_subfield,primary_field,primary_domain,referenced_works,related_works,cited_by_count,source
Modular Logic Argumentation in Arg-tuProlog,Modular Logic Argumentation in Arg-tuProlog.pdf,https://doi.org/10.3233/faia200880,2020.0,Frontiers in artificial intelligence and applications,"Private international law (PIL) addresses overlaps and conflicts between legal systems by distributing cases between the authorities of such systems (jurisdiction) and establishing what rules these authorities have to apply to each case(choice of law). A modular argumentation tool, Arg-tuProlog, is here presented that enables reasoning with rules and interpretations of multiple legal systems.",Argumentation theory; Modular design; Jurisdiction; Computer science; Political science; Choice of law; Law; Law and economics; Epistemology; Sociology; Programming language; Philosophy,Roberta Calegari; Giuseppe Contissa; Giuseppe Pisano; Galileo Sartor; Giovanni Sartor,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W2021098172; https://openalex.org/W3095625280,https://openalex.org/W2141332034; https://openalex.org/W4256185029; https://openalex.org/W4388437769; https://openalex.org/W2151983326; https://openalex.org/W4253196769; https://openalex.org/W427046471; https://openalex.org/W167590243; https://openalex.org/W2883408894; https://openalex.org/W4229878599; https://openalex.org/W2980908302,5.0,not_found_papers_enriched.csv
Monotonic and Nonmonotonic Inference for Abstract Argumentation,Monotonic and Nonmonotonic Inference for Abstract Argumentation.pdf,,2013.0,Open Repository and Bibliography (University of Luxembourg),International audience,Monotonic function; Inference; Counterfactual thinking; Argumentation theory; Computer science; Semantics (computer science); Non-monotonic logic; Relation (database); Artificial intelligence; Function (biology); Theoretical computer science; Outcome (game theory); Type (biology); Mathematics; Natural language processing; Programming language; Mathematical economics; Epistemology; Data mining,Richard Booth; Souhila Kaci; Tjitze Rienstra; Leendert van der Torre,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W421928725; https://openalex.org/W1519024439; https://openalex.org/W1576771044; https://openalex.org/W1903103834; https://openalex.org/W2003822553; https://openalex.org/W2021415177; https://openalex.org/W2037950528; https://openalex.org/W2039594639; https://openalex.org/W2080142817; https://openalex.org/W2081641685; https://openalex.org/W2104126268; https://openalex.org/W2129730018; https://openalex.org/W2129829265; https://openalex.org/W2626502158,https://openalex.org/W2124397686; https://openalex.org/W1504340090; https://openalex.org/W1581384476; https://openalex.org/W1497274966; https://openalex.org/W1608781689; https://openalex.org/W2132730156; https://openalex.org/W1604255204; https://openalex.org/W190590315; https://openalex.org/W2963934537; https://openalex.org/W942747912; https://openalex.org/W299830133; https://openalex.org/W2599244842; https://openalex.org/W2176458000; https://openalex.org/W2548211066; https://openalex.org/W2006784674; https://openalex.org/W2971396521; https://openalex.org/W2065153879; https://openalex.org/W1499080085; https://openalex.org/W2040919512; https://openalex.org/W2143133577,3.0,not_found_papers_enriched.csv
Neural Networks or Linguistic Features - Comparing Different Machine-Learning Approaches for Automated Assessment of Text Quality Traits Among L1- and L2-Learners' Argumentative Essays,Neural Networks or Linguistic Features - Comparing Different Machine-Learning Approaches for Automated Assessment of Text Quality Traits Among L1- and L2-Learners' Argumentative Essays.pdf,https://doi.org/10.1007/s40593-024-00426-w,2024.0,International Journal of Artificial Intelligence in Education,,Computer science; Trait; Feature (linguistics); Artificial intelligence; Natural language processing; Machine learning; Feature engineering; Quality (philosophy); Language model; Deep learning; Linguistics,Julian F. Lohmann; Fynn Junge; Jens Møller; Johanna Fleckenstein; Ruth Trüb; Stefan Keller; Thorben Jansen; Andrea Horbach,Text Readability and Simplification,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W257661379; https://openalex.org/W657332045; https://openalex.org/W1413081681; https://openalex.org/W1536274117; https://openalex.org/W1596418779; https://openalex.org/W1954968711; https://openalex.org/W1963558974; https://openalex.org/W2019416425; https://openalex.org/W2037789405; https://openalex.org/W2060423038; https://openalex.org/W2080814330; https://openalex.org/W2117373735; https://openalex.org/W2250290162; https://openalex.org/W2288522452; https://openalex.org/W2295056205; https://openalex.org/W2347007084; https://openalex.org/W2374022468; https://openalex.org/W2406501289; https://openalex.org/W2440757793; https://openalex.org/W2462956076; https://openalex.org/W2508346512; https://openalex.org/W2567547739; https://openalex.org/W2735743598; https://openalex.org/W2758067238; https://openalex.org/W2785871937; https://openalex.org/W2803763037; https://openalex.org/W2806323116; https://openalex.org/W2886326288; https://openalex.org/W2889765309; https://openalex.org/W2914120296; https://openalex.org/W2922211092; https://openalex.org/W2955427418; https://openalex.org/W2964413085; https://openalex.org/W2970597249; https://openalex.org/W2970811405; https://openalex.org/W2979629418; https://openalex.org/W2982622292; https://openalex.org/W2986839843; https://openalex.org/W2992320904; https://openalex.org/W2999105704; https://openalex.org/W3006224918; https://openalex.org/W3037207300; https://openalex.org/W3037797173; https://openalex.org/W3038362714; https://openalex.org/W3087421864; https://openalex.org/W3087925949; https://openalex.org/W3095483082; https://openalex.org/W3096367574; https://openalex.org/W3098654368; https://openalex.org/W3114208363; https://openalex.org/W3117359318; https://openalex.org/W3118820303; https://openalex.org/W3120384685; https://openalex.org/W3170037077; https://openalex.org/W3193704761; https://openalex.org/W3196589716; https://openalex.org/W3201077663; https://openalex.org/W3209655980; https://openalex.org/W3216581565; https://openalex.org/W4280611959; https://openalex.org/W4285097737; https://openalex.org/W4287891043; https://openalex.org/W4288088047; https://openalex.org/W4288104672; https://openalex.org/W4296492356; https://openalex.org/W4310123629; https://openalex.org/W4313410276; https://openalex.org/W4319309673; https://openalex.org/W4366403195; https://openalex.org/W4383180932; https://openalex.org/W4385245566; https://openalex.org/W4385572572; https://openalex.org/W4390946149; https://openalex.org/W4400985672; https://openalex.org/W6674385629,https://openalex.org/W4375867731; https://openalex.org/W2477995101; https://openalex.org/W2750075801; https://openalex.org/W3164948662; https://openalex.org/W4400413234; https://openalex.org/W3153597579; https://openalex.org/W3034267371; https://openalex.org/W4385336128; https://openalex.org/W4394398790; https://openalex.org/W4399455186,2.0,not_found_papers_enriched.csv
On Learning Bipolar Gradual Argumentation Semantics with Neural Networks,On Learning Bipolar Gradual Argumentation Semantics with Neural Networks.pdf,https://doi.org/10.5220/0012448300003636,2024.0,,International audience,Argumentation theory; Computer science; Semantics (computer science); Artificial intelligence; Theoretical computer science; Graph; Artificial neural network; Benchmark (surveying); Machine learning; Natural language processing; Programming language,Caren Al Anaissy; Sandeep Suntwal; Mihai Surdeanu; Srdjan Vesić,Software Engineering Research,Information Systems,Computer Science,Physical Sciences,https://openalex.org/W119312837; https://openalex.org/W1501856433; https://openalex.org/W1578957392; https://openalex.org/W1874138657; https://openalex.org/W2034735942; https://openalex.org/W2079883067; https://openalex.org/W2094909776; https://openalex.org/W2104126268; https://openalex.org/W2112796928; https://openalex.org/W2116341502; https://openalex.org/W2147067422; https://openalex.org/W2524556227; https://openalex.org/W2884913901; https://openalex.org/W2899320128; https://openalex.org/W2945667586; https://openalex.org/W2963587345; https://openalex.org/W2964015378; https://openalex.org/W2994561262; https://openalex.org/W3103956734; https://openalex.org/W3175495812; https://openalex.org/W4229554797; https://openalex.org/W4239181501; https://openalex.org/W4297733535; https://openalex.org/W4298169422; https://openalex.org/W4300343529; https://openalex.org/W4360836968; https://openalex.org/W4365601249,https://openalex.org/W4256185029; https://openalex.org/W2141332034; https://openalex.org/W4388437769; https://openalex.org/W2762454042; https://openalex.org/W2064153856; https://openalex.org/W2337488240; https://openalex.org/W52290235; https://openalex.org/W3007362904; https://openalex.org/W3205626777; https://openalex.org/W2980516505,1.0,not_found_papers_enriched.csv
On Properties and Complexity of Incomplete Argumentation Framework,On Properties and Complexity of Incomplete Argumentation Framework.pdf,https://doi.org/10.1609/aaai.v36i5.20483,2022.0,Proceedings of the AAAI Conference on Artificial Intelligence,"Dung’s Argumentation Framework (AF) has been extended in several directions, including the possibility of representing unquantified uncertainty about the existence of arguments and attacks. The framework resulting from such an extension is called incomplete AF (iAF). In this paper, we first introduce three new satisfaction problems named totality, determinism and functionality, and investigate their computational complexity for both AF and iAF under several semantics. We also investigate the complexity of credulous and skeptical acceptance in iAF under semi-stable semantics—a problem left open in the literature. We then show that any iAF can be rewritten into an equivalent one where either only (unattacked) arguments or only attacks are uncertain. Finally, we relate iAF to probabilistic argumentation framework, where uncertainty is quantified.",Argumentation theory; Skepticism; Semantics (computer science); Probabilistic logic; Argumentation framework; Computer science; Determinism; Theoretical computer science; Extension (predicate logic); Epistemology; Mathematics; Artificial intelligence; Programming language; Philosophy,Gianvincenzo Alfano; Sergio Greco; Francesco Parisi; Irina Trubitsyna,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W56018079; https://openalex.org/W72493644; https://openalex.org/W93164194; https://openalex.org/W176373453; https://openalex.org/W1486709607; https://openalex.org/W1578957392; https://openalex.org/W1580831651; https://openalex.org/W1772815481; https://openalex.org/W1961668815; https://openalex.org/W1965296062; https://openalex.org/W2006912660; https://openalex.org/W2023831180; https://openalex.org/W2049248401; https://openalex.org/W2052767733; https://openalex.org/W2071122890; https://openalex.org/W2086051680; https://openalex.org/W2104126268; https://openalex.org/W2121835362; https://openalex.org/W2207251955; https://openalex.org/W2238009370; https://openalex.org/W2262675902; https://openalex.org/W2293504531; https://openalex.org/W2400192453; https://openalex.org/W2543048251; https://openalex.org/W2571697109; https://openalex.org/W2741592075; https://openalex.org/W2787917923; https://openalex.org/W2812194662; https://openalex.org/W2816362554; https://openalex.org/W2885218246; https://openalex.org/W2893801333; https://openalex.org/W2894412276; https://openalex.org/W2897805537; https://openalex.org/W2899115337; https://openalex.org/W2900754604; https://openalex.org/W2914736422; https://openalex.org/W2914750587; https://openalex.org/W2964590547; https://openalex.org/W2995415950; https://openalex.org/W3034456971; https://openalex.org/W3035193960; https://openalex.org/W3080680844; https://openalex.org/W3090024527; https://openalex.org/W3090584848; https://openalex.org/W3091437844; https://openalex.org/W3120375738; https://openalex.org/W3126150892; https://openalex.org/W3136491122; https://openalex.org/W3158314322; https://openalex.org/W3174156013; https://openalex.org/W3174885442; https://openalex.org/W3178176274; https://openalex.org/W3201188833; https://openalex.org/W4213009134; https://openalex.org/W6602973382; https://openalex.org/W6603756535; https://openalex.org/W6628970345; https://openalex.org/W6634636385; https://openalex.org/W6636768363; https://openalex.org/W6638144111; https://openalex.org/W6641265060; https://openalex.org/W6651768176; https://openalex.org/W6662625477; https://openalex.org/W6668155572; https://openalex.org/W6677920965; https://openalex.org/W6697447116; https://openalex.org/W6748606165; https://openalex.org/W6903692195; https://openalex.org/W6990023262,https://openalex.org/W124110387; https://openalex.org/W3216091191; https://openalex.org/W2052903087; https://openalex.org/W47899866; https://openalex.org/W1560931420; https://openalex.org/W2065807231; https://openalex.org/W2050214921; https://openalex.org/W52290235; https://openalex.org/W1592101477; https://openalex.org/W1975845914,18.0,not_found_papers_enriched.csv
On principle-based evaluation of extension-based argumentation semantics,On principle-based evaluation of extension-based argumentation semantics.pdf,https://doi.org/10.1016/j.artint.2007.04.004,2007.0,Artificial Intelligence,,Argumentation theory; Argumentation framework; Semantics (computer science); Extension (predicate logic); Context (archaeology); Skepticism; Computer science; Formal semantics (linguistics); Well-founded semantics; Variety (cybernetics); Operational semantics; Set (abstract data type); Stable model semantics; Action semantics; Theoretical computer science; Denotational semantics; Artificial intelligence; Natural language processing; Programming language; Epistemology,Pietro Baroni; Massimiliano Giacomin,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W84394265; https://openalex.org/W118884479; https://openalex.org/W151765464; https://openalex.org/W1497356603; https://openalex.org/W1501071365; https://openalex.org/W1502733981; https://openalex.org/W1528187577; https://openalex.org/W1535357520; https://openalex.org/W1580355372; https://openalex.org/W1626176828; https://openalex.org/W1655919500; https://openalex.org/W2003017965; https://openalex.org/W2021415177; https://openalex.org/W2029665446; https://openalex.org/W2102451699; https://openalex.org/W2104126268; https://openalex.org/W2112029595; https://openalex.org/W2116246756; https://openalex.org/W2118090719; https://openalex.org/W2129829265; https://openalex.org/W2153371282; https://openalex.org/W2155322595; https://openalex.org/W2171853123; https://openalex.org/W2913225353; https://openalex.org/W4245799227; https://openalex.org/W4299478930; https://openalex.org/W6603441743; https://openalex.org/W6604811339; https://openalex.org/W6606251876; https://openalex.org/W6630152125; https://openalex.org/W6631363583; https://openalex.org/W6631839077; https://openalex.org/W6634753482; https://openalex.org/W6636768363; https://openalex.org/W6676860601; https://openalex.org/W6679288028; https://openalex.org/W6679512829; https://openalex.org/W6682803361; https://openalex.org/W6759044644,https://openalex.org/W91938043; https://openalex.org/W2348616540; https://openalex.org/W1975908952; https://openalex.org/W1988438613; https://openalex.org/W2066556632; https://openalex.org/W2017152877; https://openalex.org/W2081930115; https://openalex.org/W1564757635; https://openalex.org/W4376854090; https://openalex.org/W2399019821,305.0,not_found_papers_enriched.csv
On the Complexity of Enumerating the Extensions of Abstract Argumentation Frameworks,On the Complexity of Enumerating the Extensions of Abstract Argumentation Frameworks.pdf,https://doi.org/10.24963/ijcai.2017/159,2017.0,,"Several computational problems of abstract argumentation frameworks (AFs) such as skeptical and credulous reasoning, existence of a non-empty extension, verification, etc. have been thoroughly analyzed for various semantics. In contrast, the enumeration problem of AFs (i.e., the problem of computing all extensions according to some semantics) has been left unexplored so far. The goal of this paper is to fill this gap. We thus investigate the enumeration complexity of AFs for a large collection of semantics and, in addition, consider the most common structural restrictions on AFs.",Argumentation theory; Semantics (computer science); Skepticism; Enumeration; Extension (predicate logic); Computer science; Theoretical computer science; Computational complexity theory; Operational semantics; Programming language; Mathematics; Algorithm; Discrete mathematics; Epistemology; Philosophy,Markus Kröll; Reinhard Pichler; Stefan Woltran,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W64796752; https://openalex.org/W157911545; https://openalex.org/W171356959; https://openalex.org/W629879141; https://openalex.org/W1497356603; https://openalex.org/W1534951987; https://openalex.org/W1536830218; https://openalex.org/W1573632260; https://openalex.org/W1578957392; https://openalex.org/W1590977969; https://openalex.org/W1819973606; https://openalex.org/W1875482477; https://openalex.org/W1975303601; https://openalex.org/W1984290203; https://openalex.org/W1985598531; https://openalex.org/W1989896818; https://openalex.org/W2007940874; https://openalex.org/W2011844594; https://openalex.org/W2015899729; https://openalex.org/W2035037959; https://openalex.org/W2039594639; https://openalex.org/W2041198634; https://openalex.org/W2046652577; https://openalex.org/W2093924042; https://openalex.org/W2100875224; https://openalex.org/W2104126268; https://openalex.org/W2112029595; https://openalex.org/W2113541171; https://openalex.org/W2121835362; https://openalex.org/W2142128975; https://openalex.org/W2149567024; https://openalex.org/W2167510274; https://openalex.org/W2215868778; https://openalex.org/W2320759892; https://openalex.org/W2346099666; https://openalex.org/W2748846180; https://openalex.org/W2914039150; https://openalex.org/W4255471579,https://openalex.org/W108845024; https://openalex.org/W2406961474; https://openalex.org/W4300125793; https://openalex.org/W2578985712; https://openalex.org/W2952598754; https://openalex.org/W3042106073; https://openalex.org/W2143566611; https://openalex.org/W4251460363; https://openalex.org/W588267724; https://openalex.org/W2057205169,32.0,not_found_papers_enriched.csv
On the graded acceptability of arguments in abstract and instantiated argumentation,On the graded acceptability of arguments in abstract and instantiated argumentation.pdf,https://doi.org/10.1016/j.artint.2019.05.001,2019.0,Artificial Intelligence,,Argumentation theory; Argument (complex analysis); Argumentation framework; Generalization; Semantics (computer science); Ranking (information retrieval); Context (archaeology); Computer science; Formal semantics (linguistics); Epistemology; Theoretical computer science; Artificial intelligence; Programming language; Philosophy,Davide Grossi; Sanjay Modgil,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W14006711; https://openalex.org/W36665044; https://openalex.org/W157848010; https://openalex.org/W1482673721; https://openalex.org/W1534361892; https://openalex.org/W1772815481; https://openalex.org/W1825730661; https://openalex.org/W1966873207; https://openalex.org/W1968567610; https://openalex.org/W1975212397; https://openalex.org/W1975303601; https://openalex.org/W2006559750; https://openalex.org/W2010366788; https://openalex.org/W2015899729; https://openalex.org/W2039020269; https://openalex.org/W2045422233; https://openalex.org/W2071122890; https://openalex.org/W2075002200; https://openalex.org/W2075834747; https://openalex.org/W2088166168; https://openalex.org/W2104126268; https://openalex.org/W2106089104; https://openalex.org/W2106536319; https://openalex.org/W2109955529; https://openalex.org/W2116246756; https://openalex.org/W2121835362; https://openalex.org/W2123302123; https://openalex.org/W2142350242; https://openalex.org/W2154849078; https://openalex.org/W2160547131; https://openalex.org/W2171853123; https://openalex.org/W2249168209; https://openalex.org/W2301749907; https://openalex.org/W2468760622; https://openalex.org/W2572125165; https://openalex.org/W2575397666; https://openalex.org/W2749922657; https://openalex.org/W2808668410; https://openalex.org/W2950345894; https://openalex.org/W4256682192; https://openalex.org/W6600591275; https://openalex.org/W6601531622; https://openalex.org/W6605830852; https://openalex.org/W6606363322; https://openalex.org/W6615802430; https://openalex.org/W6628835485; https://openalex.org/W6631835729; https://openalex.org/W6636124301; https://openalex.org/W6642348711; https://openalex.org/W6678382177; https://openalex.org/W6691713564; https://openalex.org/W6693422437; https://openalex.org/W6697575532; https://openalex.org/W6720624399; https://openalex.org/W6731834062; https://openalex.org/W6739876936; https://openalex.org/W6750432481; https://openalex.org/W6754923793; https://openalex.org/W6755351862; https://openalex.org/W6981902861,https://openalex.org/W2964102591; https://openalex.org/W2125018333; https://openalex.org/W2394754640; https://openalex.org/W2241016855; https://openalex.org/W2289650519; https://openalex.org/W2741878421; https://openalex.org/W2898539844; https://openalex.org/W2312209207; https://openalex.org/W2485166179; https://openalex.org/W110291695; https://openalex.org/W3176978687; https://openalex.org/W2405984765; https://openalex.org/W3035546558; https://openalex.org/W2481233618; https://openalex.org/W2904942770; https://openalex.org/W2201998628; https://openalex.org/W1860436951; https://openalex.org/W2990692159; https://openalex.org/W2952174649; https://openalex.org/W2891074282,2.0,not_found_papers_enriched.csv
Preference-based argumentation Arguments supporting multiple values,Preference-based argumentation Arguments supporting multiple values.pdf,https://doi.org/10.1016/j.ijar.2007.07.005,2007.0,International Journal of Approximate Reasoning,,Argumentation theory; Preference; Argument (complex analysis); Construct (python library); Certainty; Value (mathematics); Extension (predicate logic); Mathematical economics; Order (exchange); Mathematics; Computer science; Epistemology; Machine learning; Statistics; Economics; Philosophy,Souhila Kaci; Leendert van der Torre,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W45576761; https://openalex.org/W86957071; https://openalex.org/W157110533; https://openalex.org/W1499898269; https://openalex.org/W1503672036; https://openalex.org/W1602796727; https://openalex.org/W1836134587; https://openalex.org/W1875482477; https://openalex.org/W2040149775; https://openalex.org/W2069176561; https://openalex.org/W2075805052; https://openalex.org/W2100717697; https://openalex.org/W2104126268; https://openalex.org/W2107316243; https://openalex.org/W2116246756; https://openalex.org/W2116248449; https://openalex.org/W2117781069; https://openalex.org/W2131795851; https://openalex.org/W2143336154; https://openalex.org/W2156092566; https://openalex.org/W2171749641; https://openalex.org/W2402164117; https://openalex.org/W2496775934; https://openalex.org/W4301434429; https://openalex.org/W6630969749; https://openalex.org/W6633162894; https://openalex.org/W6636150350; https://openalex.org/W6641471636; https://openalex.org/W6678725776; https://openalex.org/W6681661526,https://openalex.org/W2511305084; https://openalex.org/W2077815492; https://openalex.org/W3036391810; https://openalex.org/W3125673773; https://openalex.org/W3123591583; https://openalex.org/W2162270815; https://openalex.org/W3200619217; https://openalex.org/W4255801263; https://openalex.org/W2373713487; https://openalex.org/W3097817567,97.0,not_found_papers_enriched.csv
Probabilistic Argumentation with Epistemic Extensions,Probabilistic Argumentation with Epistemic Extensions.pdf,,2014.0,,"Abstract. Abstract argumentation offers an appealing way of representing and evaluating arguments and counterarguments. This approach can be enhanced by a probability assignment to each argument. There are various interpretations that can be ascribed to this assignment. In this paper, we regard the assignment as denoting the belief that an agent has that an argument is justifiable, i. e., that both the premises of the argument and the derivation of the claim of the argument from its premises are valid. This leads to the notion of an epistemic extension which is the subset of the arguments in the graph that are believed to some degree (which we defined as the arguments that have a probability assignment greater than 0.5). We consider various constraints on the probability assignment. Some constraints correspond to standard notions of extensions, such as grounded or stable extensions, and some constraints give us new kinds of extensions. 1",Argumentation theory; Argument (complex analysis); Probabilistic logic; Probabilistic argumentation; Extension (predicate logic); Epistemology; Mathematics; Mathematical economics; Computer science; Philosophy,Anthony Hunter; Matthias Thimm,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W176373453; https://openalex.org/W1580324013; https://openalex.org/W1772815481; https://openalex.org/W2003822553; https://openalex.org/W2078438690; https://openalex.org/W2104126268; https://openalex.org/W2301749907; https://openalex.org/W2400192453; https://openalex.org/W2402845522; https://openalex.org/W2405720308; https://openalex.org/W3005690185,https://openalex.org/W2104126268; https://openalex.org/W2078438690; https://openalex.org/W2405720308; https://openalex.org/W2187044871; https://openalex.org/W1772815481; https://openalex.org/W2404949192; https://openalex.org/W2400192453; https://openalex.org/W1913181217; https://openalex.org/W176373453; https://openalex.org/W2971611732; https://openalex.org/W171772552; https://openalex.org/W2238009370; https://openalex.org/W2093175891; https://openalex.org/W1965296062; https://openalex.org/W2157731917; https://openalex.org/W2207251955; https://openalex.org/W2167497429; https://openalex.org/W2115268056; https://openalex.org/W1580831651; https://openalex.org/W2187895693,10.0,not_found_papers_enriched.csv
Ranking-based semantics for argumentation frameworks,Ranking-based semantics for argumentation frameworks.pdf,https://doi.org/10.1007/978-3-642-40381-1_11,2013.0,Lecture notes in computer science,,Computer science; Semantics (computer science); Argumentation theory; Argument (complex analysis); Ranking (information retrieval); Well-founded semantics; Set (abstract data type); Rank (graph theory); Operational semantics; Construct (python library); Theoretical computer science; Argumentation framework; Proof-theoretic semantics; Action semantics; Programming language; Denotational semantics; Artificial intelligence; Mathematics; Epistemology,Leïla Amgoud; Jonathan Ben-Naim,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W1965296062; https://openalex.org/W2054530127; https://openalex.org/W2104126268; https://openalex.org/W2109955529; https://openalex.org/W2112029595; https://openalex.org/W2118090719; https://openalex.org/W2159569510; https://openalex.org/W2160547131,https://openalex.org/W2109790275; https://openalex.org/W91938043; https://openalex.org/W3007870257; https://openalex.org/W2048735591; https://openalex.org/W2320759892; https://openalex.org/W30461449; https://openalex.org/W1781980687; https://openalex.org/W3129725704; https://openalex.org/W2081930115; https://openalex.org/W1976146918,137.0,not_found_papers_enriched.csv
Stability equivalence among stochastic differential equations and stochastic differential equations with piecewise continuous arguments and corresponding Euler-Maruyama methods,Stability equivalence among stochastic differential equations and stochastic differential equations with piecewise continuous arguments and corresponding Euler-Maruyama methods.pdf,https://doi.org/10.1016/j.amc.2020.125813,2021.0,Applied Mathematics and Computation,,Mathematics; Stochastic differential equation; Lipschitz continuity; Piecewise; Mathematical analysis; Moment (physics); Exponential stability; Differential equation; Equivalence (formal languages); Applied mathematics; Nonlinear system; Pure mathematics; Physics,Minghui Song; Yidan Geng Yidan Geng; Ming-Zhu Liu,Stochastic processes and financial applications,Finance,"Economics, Econometrics and Finance",Social Sciences,https://openalex.org/W194549626; https://openalex.org/W592485236; https://openalex.org/W612172734; https://openalex.org/W658561436; https://openalex.org/W1483382787; https://openalex.org/W1494628843; https://openalex.org/W1575104486; https://openalex.org/W1579485993; https://openalex.org/W1639879014; https://openalex.org/W1964221133; https://openalex.org/W1975417422; https://openalex.org/W1978275259; https://openalex.org/W1983097489; https://openalex.org/W1986684749; https://openalex.org/W2000522534; https://openalex.org/W2003192055; https://openalex.org/W2043079521; https://openalex.org/W2043241145; https://openalex.org/W2051212416; https://openalex.org/W2088070062; https://openalex.org/W2096710166; https://openalex.org/W2104659821; https://openalex.org/W2118544404; https://openalex.org/W2131189822; https://openalex.org/W2137519698; https://openalex.org/W2141436719; https://openalex.org/W2144375835; https://openalex.org/W2148472611; https://openalex.org/W2168111113; https://openalex.org/W2474875956; https://openalex.org/W2507750056; https://openalex.org/W2597700339; https://openalex.org/W2636341849; https://openalex.org/W2766861893; https://openalex.org/W2793551052; https://openalex.org/W2794202721; https://openalex.org/W2794748126; https://openalex.org/W2799664482; https://openalex.org/W2809233765; https://openalex.org/W2943876974; https://openalex.org/W2944639779; https://openalex.org/W3101471540; https://openalex.org/W4231021340; https://openalex.org/W4240399370; https://openalex.org/W6752736032,https://openalex.org/W3185235544; https://openalex.org/W2911623553; https://openalex.org/W4297791327; https://openalex.org/W2897842840; https://openalex.org/W2397777611; https://openalex.org/W1502031429; https://openalex.org/W2417585376; https://openalex.org/W1994157709; https://openalex.org/W2570224107; https://openalex.org/W2080426547,5.0,not_found_papers_enriched.csv
Strong convergence and exponential stability of stochastic differential equations with piecewise continuous arguments for non-globally Lipschitz continuous coefficients,Strong convergence and exponential stability of stochastic differential equations with piecewise continuous arguments for non-globally Lipschitz continuous coefficients.pdf,https://doi.org/10.1016/j.amc.2018.08.037,2018.0,Applied Mathematics and Computation,,Lipschitz continuity; Mathematics; Piecewise; Exponential stability; Convergence (economics); Exponential function; Stochastic differential equation; Applied mathematics; Stability (learning theory); Differential equation; Mathematical analysis; Exponential growth; Nonlinear system; Computer science,Huizi Yang; Minghui Song; Ming-Zhu Liu,Stochastic processes and financial applications,Finance,"Economics, Econometrics and Finance",Social Sciences,https://openalex.org/W1964221133; https://openalex.org/W1975417422; https://openalex.org/W1981041832; https://openalex.org/W1983176089; https://openalex.org/W1987022525; https://openalex.org/W2008117223; https://openalex.org/W2012313787; https://openalex.org/W2054482928; https://openalex.org/W2070845660; https://openalex.org/W2074126939; https://openalex.org/W2096710166; https://openalex.org/W2303405167; https://openalex.org/W2320496628; https://openalex.org/W3101256565; https://openalex.org/W6663648238; https://openalex.org/W6698569949,https://openalex.org/W1504912364; https://openalex.org/W1671909755; https://openalex.org/W2570224107; https://openalex.org/W2151791215; https://openalex.org/W2005786916; https://openalex.org/W2080426547; https://openalex.org/W2756324413; https://openalex.org/W2382290128; https://openalex.org/W2379495416; https://openalex.org/W1996632312,8.0,not_found_papers_enriched.csv
